#	英雄基础属性表							
#	Id		LevelUpExp	MaxHPBase	PhysicalAttackBase	PhysicalDefenseBase	MagicAttackBase	MagicDefenseBase
#	int		int	int	int	int	int	int
#	英雄等级编号	策划备注	升级所需经验	基础生命值	基础物理攻击	基础物理防御	基础法术攻击	基础法术防御
	1		6	1137	57	57	0	0
	2		56	1177	60	60	0	0
	3		73	1217	62	62	0	0
	4		101	1257	65	65	0	0
	5		140	1297	67	67	0	0
	6		193	1337	70	70	0	0
	7		258	1377	72	72	0	0
	8		336	1417	74	74	0	0
	9		429	1457	77	77	0	0
	10		537	1497	79	79	0	0
	11		660	1537	82	82	0	0
	12		799	1577	84	84	0	0
	13		955	1617	87	87	0	0
	14		1128	1657	89	89	0	0
	15		1318	1697	92	92	0	0
	16		1528	1747	94	94	0	0
	17		1756	1797	96	96	0	0
	18		2003	1847	99	99	0	0
	19		2271	1897	101	101	0	0
	20		2560	1953	104	104	0	0
	21		2870	2009	106	106	0	0
	22		3202	2065	109	109	0	0
	23		3557	2121	111	111	0	0
	24		3935	2177	114	114	0	0
	25		4336	2233	116	116	0	0
	26		4763	2289	118	118	0	0
	27		5214	2345	121	121	0	0
	28		5690	2401	123	123	0	0
	29		6193	2457	126	126	0	0
	30		6723	2513	128	128	0	0
	31		7280	2569	131	131	0	0
	32		7865	2625	133	133	0	0
	33		8479	2681	136	136	0	0
	34		9122	2737	138	138	0	0
	35		9794	2793	140	140	0	0
	36		10498	2849	143	143	0	0
	37		11232	2905	145	145	0	0
	38		11997	2961	148	148	0	0
	39		12795	3017	150	150	0	0
	40		13626	3073	153	153	0	0
	41		14490	3133	155	155	0	0
	42		15388	3193	158	158	0	0
	43		16321	3253	160	160	0	0
	44		17289	3313	162	162	0	0
	45		18292	3373	165	165	0	0
	46		19333	3433	167	167	0	0
	47		20410	3493	170	170	0	0
	48		21524	3553	172	172	0	0
	49		22677	3613	175	175	0	0
	50		23869	3673	177	177	0	0
	51		25100	3729	180	180	0	0
	52		26371	3785	182	182	0	0
	53		27683	3841	184	184	0	0
	54		29036	3897	187	187	0	0
	55		30430	3953	189	189	0	0
	56		31868	4009	192	192	0	0
	57		33348	4065	194	194	0	0
	58		34871	4121	197	197	0	0
	59		36439	4177	199	199	0	0
	60		38052	4229	202	202	0	0
	61		39710	4279	204	204	0	0
	62		41414	4329	206	206	0	0
	63		43165	4379	209	209	0	0
	64		44963	4429	211	211	0	0
	65		46808	4479	214	214	0	0
	66		48703	4529	216	216	0	0
	67		50646	4579	219	219	0	0
	68		52638	4629	221	221	0	0
	69		54681	4679	224	224	0	0
	70		56775	4729	226	226	0	0
	71		58920	4779	228	228	0	0
	72		61117	4829	231	231	0	0
	73		63367	4879	233	233	0	0
	74		65670	4929	236	236	0	0
	75		68026	4979	238	238	0	0
	76		70438	5029	241	241	0	0
	77		72904	5079	243	243	0	0
	78		75425	5129	246	246	0	0
	79		78003	5179	248	248	0	0
	80		-1	5239	250	250	0	0
