#	货币兑换表					
#	Id		Coin	CoinCostMoney	Energy	EnergyCostMoney
#	int		int	int	int	int
#	货币兑换Id（当天兑换次数）	策划备注	兑换金币数量	兑换金币需要的钻石	兑换体力数	兑换体力所需要的钻石
	1		25000	10	120	50
	2		25000	10	120	50
	3		25000	20	120	100
	4		25000	20	120	100
	5		25000	20	120	100
	6		25000	50	120	100
	7		25000	50	120	100
	8		25000	50	120	100
	9		25000	50	120	100
	10		25000	50	120	100
	11		25000	100	120	150
	12		25000	100	120	150
	13		25000	100	120	150
	14		25000	100	120	150
	15		25000	100	120	150
	16		25000	100	120	150
	17		25000	100	120	150
	18		25000	100	120	150
	19		25000	100	120	150
	20		25000	100	120	150
	21		25000	100	120	150
	22		25000	100	120	150
	23		25000	100	120	150
	24		25000	100	120	150
	25		25000	100	120	150
	26		25000	100	120	150
	27		25000	100	120	150
	28		25000	100	120	150
	29		25000	100	120	150
