#	七日登陆表											
#	Id		LoginType	NumberDay	Item1	Count1	Item2	Count2	Item3	Count3	Item4	Count4
#	int		int	int	int	int	int	int	int	int	int	int
#	编号	策划备注	登陆类型（1新手2循环）	登陆天数	道具奖励1	道具数量1	道具奖励2	道具数量2	道具奖励3	道具数量3	道具奖励4	道具数量4
	1	新手登陆第1天	1	1	7	5000	201401	1	-1	-1	-1	-1
	2	新手登陆第2天	1	2	7	6000	201401	2	-1	-1	-1	-1
	3	新手登陆第3天	1	3	7	7000	203201	1	-1	-1	-1	-1
	4	新手登陆第4天	1	4	7	8000	203202	1	-1	-1	-1	-1
	5	新手登陆第5天	1	5	7	9000	203203	1	-1	-1	-1	-1
	6	新手登陆第6天	1	6	7	10000	201417	1	-1	-1	-1	-1
	7	新手登陆第7天	1	7	7	11000	209413	1	-1	-1	-1	-1
	8	循环登陆第1天	2	1	201401	1	-1	-1	-1	-1	-1	-1
	9	循环登陆第2天	2	2	201401	2	-1	-1	-1	-1	-1	-1
	10	循环登陆第3天	2	3	203201	1	-1	-1	-1	-1	-1	-1
	11	循环登陆第4天	2	4	203202	1	-1	-1	-1	-1	-1	-1
	12	循环登陆第5天	2	5	203203	1	-1	-1	-1	-1	-1	-1
	13	循环登陆第6天	2	6	201417	1	-1	-1	-1	-1	-1	-1
	14	循环登陆第7天	2	7	201409	1	-1	-1	-1	-1	-1	-1
