#	副本内建筑物配置表						
#	Id		BuildingId	PositionX	PositionY	Rotation	CountForPlayerKill
#	int		int	float	float	float	bool
#	编号	策划备注	NPC类型编号	位置X	位置Y	朝向	是否算作玩家击杀统计
	1	回复Hp（351）	20301	-27.89	6.40	0.00	False
	2	回复Hp（321）	20302	22.50	9.29	0.00	False
	3	加速711	20401	-1.21	32.32	0.00	False
	4	加速（南）731	20402	-1.95	-8.74	0.00	False
	5	加速（南）741	20403	-20.03	-1.15	0.00	False
	6	加速（791）	20901	-10.69	45.32	55.00	False
	7	加速792	20911	-41.65	24.65	0.00	False
	8	加速793	20921	-46.81	11.36	0.00	False
	9	加速794	20931	49.25	12.78	0.00	False
	10	霸体811	20511	40.72	32.39	0.00	False
	11	霸体821	20521	-44.38	-14.34	0.00	False
	12	霸体831	20531	-17.69	10.39	0.00	False
	13	霸体841	20541	-27.90	37.97	0.00	False
	15	霸体861	20561	31.65	4.19	0.00	False
	16	回复Hp（区域1）311	20303	-3.61	21.24	0.00	False
	17	回复Hp（南）341	20304	1.75	-2.90	0.00	False
	18	霸体（南）871	20571	6.85	25.50	0.00	False
	20	霸体891	20591	7.87	-6.65	0.00	False
	21	霸体（南）892	20592	-4.09	0.67	0.00	False
	22	加速795	20941	31.87	17.52	0.00	False
	23	加速796	20951	6.75	2.50	0.00	False
	24	加速797	20961	20.74	45.51	0.00	False
