#	玩家基础属性表		
#	Id		LevelUpExp
#	int		int
#	玩家等级编号	策划备注	升级所需经验
	1		6
	2		56
	3		73
	4		101
	5		140
	6		193
	7		258
	8		336
	9		429
	10		537
	11		660
	12		799
	13		955
	14		1128
	15		1318
	16		1528
	17		1756
	18		2003
	19		2271
	20		2560
	21		2870
	22		3202
	23		3557
	24		3935
	25		4336
	26		4763
	27		5214
	28		5690
	29		6193
	30		6723
	31		7280
	32		7865
	33		8479
	34		9122
	35		9794
	36		10498
	37		11232
	38		11997
	39		12795
	40		13626
	41		14490
	42		15388
	43		16321
	44		17289
	45		18292
	46		19333
	47		20410
	48		21524
	49		22677
	50		23869
	51		25100
	52		26371
	53		27683
	54		29036
	55		30430
	56		31868
	57		33348
	58		34871
	59		36439
	60		38052
	61		39710
	62		41414
	63		43165
	64		44963
	65		46808
	66		48703
	67		50646
	68		52638
	69		54681
	70		56775
	71		58920
	72		61117
	73		63367
	74		65670
	75		68026
	76		70438
	77		72904
	78		75425
	79		78003
	80		80581
