#	闪避技能配置表						
#	Id		MaxEnergy	ValidEnergy	CostPerDodge	RecoverySpeed	WaitTimeBeforeRecovery
#	int		float	float	float	float	float
#	闪避技能编号	策划备注	能量条上限	能量条开启值	每次闪避消耗	能量回复速度	能量回复停滞时间
	1008801	亚瑟王闪避	600	600	300	100	1
	1008802	亚瑟王闪避进阶	600	600	300	100	1
	1018801	荆轲闪避技	600	600	300	100	1
	1018802	荆轲闪避技进阶	600	600	300	100	1
	1038801	卡特琳娜闪避	600	600	300	100	1
	1038802	卡特琳娜闪避进阶	600	600	300	100	1
	1048801	梅林闪避技能	600	600	300	100	1
	1048802	梅林闪避技能进阶	600	600	300	100	1
	1058801	牛头闪避技能	600	600	300	100	1
	1078801	链球男王闪避	600	600	300	100	1
	1078802	链球男王闪避进阶	600	600	300	100	1
	1088801	小萝莉闪避	600	600	300	100	1
	1088802	小萝莉闪避进阶	600	600	300	100	1
	1098801	鞭子女闪避	600	600	300	100	1
	1098802	鞭子女闪避进阶	600	600	300	100	1
	1128801	达芬奇闪避	600	600	300	100	1
	1128802	达芬奇闪避进阶	600	600	300	100	1
	1148801	火女闪避	600	600	300	100	1
	1148802	火女闪避进阶	600	600	300	100	1
	1158801	岳飞闪避技能	600	600	300	100	1
	1158802	岳飞闪避技能进阶	600	600	300	100	1
	1168801	日本浪人闪避	600	600	300	100	1
	1168802	日本浪人闪避进阶	600	600	300	100	1
	1188801	噬毒者闪避	600	600	300	100	1
	1188802	噬毒者闪避进阶	600	600	300	100	1
	1208801	胖海盗闪避	600	600	300	100	1
	1208802	胖海盗闪避进阶	600	600	300	100	1
	1218801	于成龙闪避	600	600	300	100	1
	1218802	于成龙闪避进阶	600	600	300	100	1
