#	每日签到配置表										
#	Id		Reward	Count0	NeedVipLevel	Type1	Count1	Type2	Count2	Type3	Count3
#	int		int	int	int	int	int	int	int	int	int
#	编号	策划备注	签到奖励 	数量	翻倍需要的VIP等级(-1是无限制)	累计奖励1	数量1	累计奖励2	数量2	累计奖励3	数量3
	1		7	10000	-1	-1	-1	-1	-1	-1	-1
	2		201401	3	-1	-1	-1	-1	-1	-1	-1
	3		7	20000	1	7	10000	203201	10	-1	-1
	4		5	50	-1	-1	-1	-1	-1	-1	-1
	5		7	50000	-1	201402	2	201401	4	-1	-1
	6		203201	1	2	-1	-1	-1	-1	-1	-1
	7		7	10000	-1	-1	-1	-1	-1	-1	-1
	8		201401	3	-1	5	50	7	50000	-1	-1
	9		201402	1	3	-1	-1	-1	-1	-1	-1
	10		5	50	-1	-1	-1	-1	-1	-1	-1
	11		7	50000	-1	7	10000	5	50	-1	-1
	12		203201	1	4	-1	-1	-1	-1	-1	-1
	13		7	10000	-1	-1	-1	-1	-1	-1	-1
	14		201401	4	-1	-1	-1	-1	-1	-1	-1
	15		7	10000	5	203201	3	7	100000	-1	-1
	16		5	50	-1	-1	-1	-1	-1	-1	-1
	17		7	50000	-1	-1	-1	-1	-1	-1	-1
	18		203201	1	6	-1	-1	-1	-1	-1	-1
	19		7	10000	-1	-1	-1	-1	-1	-1	-1
	20		201401	4	-1	7	10000	203201	10	-1	-1
	21		7	50000	7	-1	-1	-1	-1	-1	-1
	22		5	50	-1	-1	-1	-1	-1	-1	-1
	23		7	50000	-1	201401	3	7	10000	-1	-1
	24		203201	1	8	-1	-1	-1	-1	-1	-1
	25		7	10000	-1	-1	-1	-1	-1	-1	-1
	26		201401	5	-1	-1	-1	-1	-1	-1	-1
	27		7	100000	9	201402	5	201401	5	-1	-1
	28		5	50	-1	-1	-1	-1	-1	-1	-1
	29		7	10000	-1	-1	-1	-1	-1	-1	-1
	30		201401	3	10	-1	-1	-1	-1	-1	-1
	31		201402	5	-1	-1	-1	-1	-1	-1	-1
