#	抽奖花费配置表						
#	Id		ChanceType	ChanceIndex	CurrencyType	Cost	CostAll
#	int		int	int	int	int	int
#	编号	策划备注	抽奖类型	已抽奖次数	货币类型	购买货币消耗	全部购买货币消耗
	1	钻石抽奖	1	0	2	300	2400
	2	钻石抽奖	1	1	2	300	2160
	3	钻石抽奖	1	2	2	300	1920
	4	钻石抽奖	1	3	2	300	1680
	5	钻石抽奖	1	4	2	300	1440
	6	钻石抽奖	1	5	2	300	1200
	7	钻石抽奖	1	6	2	300	960
	8	钻石抽奖	1	7	2	300	720
	9	钻石抽奖	1	8	2	300	480
	10	钻石抽奖	1	9	2	300	300
	11	金币抽奖	2	0	3	50000	400000
	12	金币抽奖	2	1	3	50000	360000
	13	金币抽奖	2	2	3	50000	320000
	14	金币抽奖	2	3	3	50000	280000
	15	金币抽奖	2	4	3	50000	240000
	16	金币抽奖	2	5	3	50000	200000
	17	金币抽奖	2	6	3	50000	160000
	18	金币抽奖	2	7	3	50000	120000
	19	金币抽奖	2	8	3	50000	80000
	20	金币抽奖	2	9	3	50000	50000
