#	装备品质及品阶配置表																
#	Id		GearId	NextId	TotalQualityLevel	Quality	QualityLevel	AttrId0	attrVal0	AttrId1	attrVal1	RequiredItemId0	RequiredItemCount0	RequiredItemId1	RequiredItemCount1	RequiredItemId2	RequiredItemCount2
#	int		int	int	int	int	int	int	float	int	float	int	int	int	int	int	int
#	编号	策划备注	装备编号	下一品阶编号	总品阶	品质	品阶	属性编号0	属性值0	属性编号1	属性值1	升品阶所需道具编号0	升品阶所需道具个数0	升品阶所需道具编号1	升品阶所需道具个数1	升品阶所需道具编号2	升品阶所需道具个数2
	10001	亚瑟王	100	10002	1	1	0	2	0	15	0	203201	10	0	0	0	0
	10002	亚瑟王	100	10003	2	2	0	2	20	15	0	203201	15	0	0	0	0
	10003	亚瑟王	100	10004	3	2	1	2	58	15	0	203201	20	203202	10	0	0
	10004	亚瑟王	100	10005	4	3	0	2	116	15	0	203201	25	203202	20	0	0
	10005	亚瑟王	100	10006	5	3	1	2	192	15	0	203201	30	203202	30	0	0
	10006	亚瑟王	100	10007	6	3	2	2	286	15	0	203201	40	203202	40	203203	10
	10007	亚瑟王	100	10008	7	4	0	2	400	15	0.01	203201	50	203202	50	203203	30
	10008	亚瑟王	100	10009	8	4	1	2	532	15	0.02	203201	60	203202	60	203203	50
	10009	亚瑟王	100	10010	9	4	2	2	683	15	0.03	203201	70	203202	70	203203	70
	10010	亚瑟王	100	10011	10	4	3	2	852	15	0.04	203201	80	203202	80	203203	90
	10011	亚瑟王	100	10012	11	5	0	2	1041	15	0.06	203201	90	203202	90	203203	110
	10012	亚瑟王	100	10013	12	5	1	2	1248	15	0.08	203201	100	203202	100	203203	130
	10013	亚瑟王	100	10014	13	5	2	2	1474	15	0.1	203201	110	203202	110	203203	150
	10014	亚瑟王	100	10015	14	5	3	2	1718	15	0.12	203201	120	203202	120	203203	170
	10015	亚瑟王	100	0	15	5	4	2	1981	15	0.14	0	0	0	0	0	0
	10101	亚瑟王	101	10102	1	1	0	4	0	16	0	203201	10	0	0	0	0
	10102	亚瑟王	101	10103	2	2	0	4	10	16	0	203201	15	0	0	0	0
	10103	亚瑟王	101	10104	3	2	1	4	30	16	0	203201	20	203202	10	0	0
	10104	亚瑟王	101	10105	4	3	0	4	60	16	0	203201	25	203202	20	0	0
	10105	亚瑟王	101	10106	5	3	1	4	99	16	0	203201	30	203202	30	0	0
	10106	亚瑟王	101	10107	6	3	2	4	149	16	0	203201	40	203202	40	203203	10
	10107	亚瑟王	101	10108	7	4	0	4	207	16	0.01	203201	50	203202	50	203203	30
	10108	亚瑟王	101	10109	8	4	1	4	276	16	0.02	203201	60	203202	60	203203	50
	10109	亚瑟王	101	10110	9	4	2	4	354	16	0.03	203201	70	203202	70	203203	70
	10110	亚瑟王	101	10111	10	4	3	4	442	16	0.04	203201	80	203202	80	203203	90
	10111	亚瑟王	101	10112	11	5	0	4	540	16	0.06	203201	90	203202	90	203203	110
	10112	亚瑟王	101	10113	12	5	1	4	647	16	0.08	203201	100	203202	100	203203	130
	10113	亚瑟王	101	10114	13	5	2	4	765	16	0.1	203201	110	203202	110	203203	150
	10114	亚瑟王	101	10115	14	5	3	4	891	16	0.12	203201	120	203202	120	203203	170
	10115	亚瑟王	101	0	15	5	4	4	1028	16	0.14	0	0	0	0	0	0
	10201	亚瑟王	102	10202	1	1	0	1	0	16	0	203201	10	0	0	0	0
	10202	亚瑟王	102	10203	2	2	0	1	600	16	0	203201	15	0	0	0	0
	10203	亚瑟王	102	10204	3	2	1	1	1760	16	0	203201	20	203202	10	0	0
	10204	亚瑟王	102	10205	4	3	0	1	3500	16	0	203201	25	203202	20	0	0
	10205	亚瑟王	102	10206	5	3	1	1	5780	16	0	203201	30	203202	30	0	0
	10206	亚瑟王	102	10207	6	3	2	1	8640	16	0	203201	40	203202	40	203203	10
	10207	亚瑟王	102	10208	7	4	0	1	12060	16	0.01	203201	50	203202	50	203203	30
	10208	亚瑟王	102	10209	8	4	1	1	16060	16	0.02	203201	60	203202	60	203203	50
	10209	亚瑟王	102	10210	9	4	2	1	20620	16	0.03	203201	70	203202	70	203203	70
	10210	亚瑟王	102	10211	10	4	3	1	25740	16	0.04	203201	80	203202	80	203203	90
	10211	亚瑟王	102	10212	11	5	0	1	31420	16	0.06	203201	90	203202	90	203203	110
	10212	亚瑟王	102	10213	12	5	1	1	37660	16	0.08	203201	100	203202	100	203203	130
	10213	亚瑟王	102	10214	13	5	2	1	44480	16	0.1	203201	110	203202	110	203203	150
	10214	亚瑟王	102	10215	14	5	3	1	51860	16	0.12	203201	120	203202	120	203203	170
	10215	亚瑟王	102	0	15	5	4	1	59820	16	0.14	0	0	0	0	0	0
	20001	荆轲	200	20002	1	1	0	2	0	15	0	203201	10	0	0	0	0
	20002	荆轲	200	20003	2	2	0	2	30	15	0	203201	15	0	0	0	0
	20003	荆轲	200	20004	3	2	1	2	88	15	0	203201	20	203202	10	0	0
	20004	荆轲	200	20005	4	3	0	2	175	15	0	203201	25	203202	20	0	0
	20005	荆轲	200	20006	5	3	1	2	289	15	0	203201	30	203202	30	0	0
	20006	荆轲	200	20007	6	3	2	2	432	15	0	203201	40	203202	40	203203	10
	20007	荆轲	200	20008	7	4	0	2	603	15	0.01	203201	50	203202	50	203203	30
	20008	荆轲	200	20009	8	4	1	2	803	15	0.02	203201	60	203202	60	203203	50
	20009	荆轲	200	20010	9	4	2	2	1031	15	0.03	203201	70	203202	70	203203	70
	20010	荆轲	200	20011	10	4	3	2	1287	15	0.04	203201	80	203202	80	203203	90
	20011	荆轲	200	20012	11	5	0	2	1571	15	0.06	203201	90	203202	90	203203	110
	20012	荆轲	200	20013	12	5	1	2	1883	15	0.08	203201	100	203202	100	203203	130
	20013	荆轲	200	20014	13	5	2	2	2224	15	0.1	203201	110	203202	110	203203	150
	20014	荆轲	200	20015	14	5	3	2	2593	15	0.12	203201	120	203202	120	203203	170
	20015	荆轲	200	0	15	5	4	2	2991	15	0.14	0	0	0	0	0	0
	20101	荆轲	201	20102	1	1	0	4	0	16	0	203201	10	0	0	0	0
	20102	荆轲	201	20103	2	2	0	4	20	16	0	203201	15	0	0	0	0
	20103	荆轲	201	20104	3	2	1	4	58	16	0	203201	20	203202	10	0	0
	20104	荆轲	201	20105	4	3	0	4	116	16	0	203201	25	203202	20	0	0
	20105	荆轲	201	20106	5	3	1	4	192	16	0	203201	30	203202	30	0	0
	20106	荆轲	201	20107	6	3	2	4	286	16	0	203201	40	203202	40	203203	10
	20107	荆轲	201	20108	7	4	0	4	400	16	0.01	203201	50	203202	50	203203	30
	20108	荆轲	201	20109	8	4	1	4	532	16	0.02	203201	60	203202	60	203203	50
	20109	荆轲	201	20110	9	4	2	4	683	16	0.03	203201	70	203202	70	203203	70
	20110	荆轲	201	20111	10	4	3	4	852	16	0.04	203201	80	203202	80	203203	90
	20111	荆轲	201	20112	11	5	0	4	1041	16	0.06	203201	90	203202	90	203203	110
	20112	荆轲	201	20113	12	5	1	4	1248	16	0.08	203201	100	203202	100	203203	130
	20113	荆轲	201	20114	13	5	2	4	1474	16	0.1	203201	110	203202	110	203203	150
	20114	荆轲	201	20115	14	5	3	4	1718	16	0.12	203201	120	203202	120	203203	170
	20115	荆轲	201	0	15	5	4	4	1981	16	0.14	0	0	0	0	0	0
	20201	荆轲	202	20202	1	1	0	1	0	16	0	203201	10	0	0	0	0
	20202	荆轲	202	20203	2	2	0	1	200	16	0	203201	15	0	0	0	0
	20203	荆轲	202	20204	3	2	1	1	600	16	0	203201	20	203202	10	0	0
	20204	荆轲	202	20205	4	3	0	1	1200	16	0	203201	25	203202	20	0	0
	20205	荆轲	202	20206	5	3	1	1	1980	16	0	203201	30	203202	30	0	0
	20206	荆轲	202	20207	6	3	2	1	2980	16	0	203201	40	203202	40	203203	10
	20207	荆轲	202	20208	7	4	0	1	4140	16	0.01	203201	50	203202	50	203203	30
	20208	荆轲	202	20209	8	4	1	1	5520	16	0.02	203201	60	203202	60	203203	50
	20209	荆轲	202	20210	9	4	2	1	7080	16	0.03	203201	70	203202	70	203203	70
	20210	荆轲	202	20211	10	4	3	1	8840	16	0.04	203201	80	203202	80	203203	90
	20211	荆轲	202	20212	11	5	0	1	10800	16	0.06	203201	90	203202	90	203203	110
	20212	荆轲	202	20213	12	5	1	1	12940	16	0.08	203201	100	203202	100	203203	130
	20213	荆轲	202	20214	13	5	2	1	15300	16	0.1	203201	110	203202	110	203203	150
	20214	荆轲	202	20215	14	5	3	1	17820	16	0.12	203201	120	203202	120	203203	170
	20215	荆轲	202	0	15	5	4	1	20560	16	0.14	0	0	0	0	0	0
