#	离线竞技消耗配置表			
#	Id		BuyCostCoin	RefreshCostCoin
#	int		int	int
#	已进行次数	策划备注	每日第N次购买离线竞技次数消耗金币数	每日第N次刷新离线竞技对手消耗金币数
	0		10000	0
	1		15000	0
	2		20000	0
	3		25000	1000
	4		30000	2000
	5		35000	3000
	6		40000	4000
	7		45000	5000
	8		50000	6000
	9		50000	7000
	10		50000	8000
	11		50000	9000
	12		50000	10000
	13		50000	10000
	14		50000	10000
	15		50000	10000
	16		50000	10000
	17		50000	10000
	18		50000	10000
	19		50000	10000
	20		50000	10000
	21		50000	10000
	22		50000	10000
	23		50000	10000
	24		50000	10000
	25		50000	10000
	26		50000	10000
	27		50000	10000
	28		50000	10000
	29		50000	10000
	30		50000	10000
	31		50000	10000
	32		50000	10000
	33		50000	10000
	34		50000	10000
	35		50000	10000
	36		50000	10000
	37		50000	10000
	38		50000	10000
	39		50000	10000
