#	大乱斗基础数值配置表													
#	Id		LevelUpExp	MaxHPBase	PhysicalAttackBase	PhysicalDefenseBase	Steady	SteadyRecoverSpeed	SteadyBuffId	DamageRandomRate	CriticalHitProb	CriticalHitRate	MeleeExp	MeleeScore
#	int		int	int	int	int	float	float	int	float	float	float	int	int
#	英雄等级编号	策划备注	升级所需经验	基础生命值	基础物理攻击	基础物理防御	霸体值	霸体值恢复速度	霸体Buff编号	伤害浮动比率	暴击率	暴击伤害倍数	击杀该级别英雄获得经验	击杀该级别英雄获得的积分
	1		100	2000	100	100	1000	150	11110	0.05	0.2	0.4	200	200
	2		180	2200	110	110	1000	150	11110	0.05	0.2	0.4	400	300
	3		280	2420	121	121	1000	150	11110	0.05	0.2	0.4	600	400
	4		440	2660	133	133	1000	150	11110	0.05	0.2	0.4	800	500
	5		640	2920	146	146	1000	150	11110	0.05	0.2	0.4	1000	600
	6		880	3200	160	160	1000	150	11110	0.05	0.2	0.4	1200	700
	7		1160	3520	176	176	1000	150	11110	0.05	0.2	0.4	1400	800
	8		1480	3860	193	193	1000	150	11110	0.05	0.2	0.4	1600	900
	9		1840	4240	212	212	1000	150	11110	0.05	0.2	0.4	1800	1000
	10		2240	4660	233	233	1000	150	11110	0.05	0.2	0.4	2000	1100
	11		2680	5120	256	256	1000	150	11110	0.05	0.2	0.4	2200	1200
	12		3160	5620	281	281	1000	150	11110	0.05	0.2	0.4	2400	1300
	13		3720	6180	309	309	1000	150	11110	0.05	0.2	0.4	2600	1400
	14		4360	6780	339	339	1000	150	11110	0.05	0.2	0.4	2800	1500
	15		5080	7440	372	372	1000	150	11110	0.05	0.2	0.4	3000	1600
	16		5880	8180	409	409	1000	150	11110	0.05	0.2	0.4	3200	1700
	17		6760	8980	449	449	1000	150	11110	0.05	0.2	0.4	3400	1800
	18		7720	9860	493	493	1000	150	11110	0.05	0.2	0.4	3600	1900
	19		8760	10840	542	542	1000	150	11110	0.05	0.2	0.4	3800	2000
	20		9880	11920	596	596	1000	150	11110	0.05	0.2	0.4	4000	2100
	21		11080	13100	655	655	1000	150	11110	0.05	0.2	0.4	4200	2200
	22		12360	14400	720	720	1000	150	11110	0.05	0.2	0.4	4400	2300
	23		13720	15840	792	792	1000	150	11110	0.05	0.2	0.4	4600	2400
	24		15160	17420	871	871	1000	150	11110	0.05	0.2	0.4	4800	2500
	25		16680	19160	958	958	1000	150	11110	0.05	0.2	0.4	5000	2600
	26		18280	21060	1053	1053	1000	150	11110	0.05	0.2	0.4	5200	2700
	27		19960	23160	1158	1158	1000	150	11110	0.05	0.2	0.4	5400	2800
	28		21720	25460	1273	1273	1000	150	11110	0.05	0.2	0.4	5600	2900
	29		23560	28000	1400	1400	1000	150	11110	0.05	0.2	0.4	5800	3000
	30		25480	30800	1540	1540	1000	150	11110	0.05	0.2	0.4	6000	3100
	31		27480	33880	1694	1694	1000	150	11110	0.05	0.2	0.4	6200	3200
	32		29560	37260	1863	1863	1000	150	11110	0.05	0.2	0.4	6400	3300
	33		31720	40980	2049	2049	1000	150	11110	0.05	0.2	0.4	6600	3400
	34		33960	45060	2253	2253	1000	150	11110	0.05	0.2	0.4	6800	3500
	35		36280	49560	2478	2478	1000	150	11110	0.05	0.2	0.4	7000	3600
	36		38680	54500	2725	2725	1000	150	11110	0.05	0.2	0.4	7200	3700
	37		41160	59940	2997	2997	1000	150	11110	0.05	0.2	0.4	7400	3800
	38		43720	65920	3296	3296	1000	150	11110	0.05	0.2	0.4	7600	3900
	39		46280	72500	3625	3625	1000	150	11110	0.05	0.2	0.4	7800	4000
	40		-1	79740	3987	3987	1000	150	11110	0.05	0.2	0.4	8000	4100
