#	副本内NPC配置表						
#	Id		NpcId	PositionX	PositionY	Rotation	CountForPlayerKill
#	int		int	float	float	float	bool
#	NPC编号	策划备注	NPC类型编号	位置X	位置Y	朝向	是否算作玩家击杀统计
	111	小怪	7010103	-2.89	-11.64	358.47	TRUE
	112	小怪	7010103	-1.12	-11.34	349.61	TRUE
	113	小怪	7010103	0.28	-10.8	342.14	TRUE
	121	小怪	7010103	-9.71	-7.78	39.92	TRUE
	122	小怪	7010103	-9.38	-9.7	32.5	TRUE
	123	小怪	7010103	-7.22	-10.91	20.23	TRUE
	131	小怪	7010103	-9.21	0.85	98.05	TRUE
	132	小怪	7010103	-10.06	-1.15	80.48	TRUE
	133	小怪	7010103	-10.62	-3.47	64.94	TRUE
	141	小怪	7010103	-3.79	2.36	165.96	TRUE
	142	小怪	7010103	-1.67	2.84	208.31	TRUE
	143	小怪	7010103	0.84	1.38	251.14	TRUE
	151	小怪	7010103	2.7	-2.75	294.99	TRUE
	152	小怪	7010103	3.17	-4.43	304.82	TRUE
	153	小怪	7010103	3.25	-6.26	314.14	TRUE
	211	双倍金币怪	7010203	-4.96	-13.3	7.54	TRUE
	212	双倍金币怪	7010203	-11.36	-6.54	51.29	TRUE
	213	双倍金币怪	7010203	-5.94	2.89	136.53	TRUE
	214	双倍金币怪	7010203	3.05	-0.54	274.94	TRUE
	215	双倍金币怪	7010203	3.15	-8.31	322.62	TRUE
	221	小怪	7010103	-6.17	-15.25	11.02	TRUE
	222	小怪	7010103	-4.21	-15.63	3.7	TRUE
	223	小怪	7010103	-1.84	-15.13	354.86	TRUE
	231	小怪	7010103	-13.94	-7.17	56.27	TRUE
	232	小怪	7010103	-15.45	-4.76	68.77	TRUE
	233	小怪	7010103	-12.9	-3.09	72.33	TRUE
	241	小怪	7010103	-11.13	1.77	102.58	TRUE
	242	小怪	7010103	-9.97	3.16	115.02	TRUE
	243	小怪	7010103	-8.35	4.57	131.59	TRUE
	251	小怪	7010103	-3.2	6.93	180	TRUE
	252	小怪	7010103	-1.5	7	193.65	TRUE
	253	小怪	7010103	0.99	6.41	213.17	TRUE
	311	自爆怪	7010303	1.02	2.44	216.42	TRUE
	312	自爆怪	7010303	-6.1	0.63	166.62	TRUE
	313	自爆怪	7010303	-10.04	-6.05	82.02	TRUE
	314	自爆怪	7010303	-4.21	-10.55	354.78	TRUE
	315	自爆怪	7010303	2.07	-5.3	270	TRUE
