#	英雄品阶配置表																																		
#	Id		HeroId	TotalQualityLevel	Quality	QualityLevel	NextId	AttrId0	AttrValue0	AttrId1	AttrValue1	AttrId2	AttrValue2	AttrId3	AttrValue3	AttrId4	AttrValue4	AttrId5	AttrValue5	AttrId6	AttrValue6	AttrId7	AttrValue7	QualityItemId0	QualityItemCount0	QualityItemId1	QualityItemCount1	QualityItemId2	QualityItemCount2	QualityItemId3	QualityItemCount3	QualityItemId4	QualityItemCount4	QualityItemId5	QualityItemCount5
#	int		int	int	int	int	int	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	int	int	int	int	int	int	int	int	int	int	int
#	品阶编号	策划备注	英雄编号	总品阶	品质	品阶	下一品阶编号	属性编号0	属性值0	属性编号1	属性值1	属性编号2	属性值2	属性编号3	属性值3	属性编号4	属性值4	属性编号5	属性值5	属性编号6	属性值6	属性编号7	属性值7	品质道具编号0	品质道具数量0	品质道具编号1	品质道具数量1	品质道具编号2	品质道具数量2	品质道具编号3	品质道具数量3	品质道具编号4	品质道具数量4	品质道具编号5	品质道具数量5
	101	亚瑟王-白0	1	1	1	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191001	1	191002	1	191003	1	0	0	0	0	0	0
	102	亚瑟王-绿0	1	2	2	0	103	2	18	4	18	1	360	0	0	0	0	0	0	0	0	0	0	191004	1	191005	1	191006	1	191006	1	0	0	0	0
	103	亚瑟王-绿1	1	3	2	1	104	2	42	4	42	1	1160	0	0	0	0	0	0	0	0	0	0	191007	1	191008	1	191009	1	191009	1	0	0	0	0
	104	亚瑟王-蓝0	1	4	3	0	105	2	72	4	72	1	2160	0	0	0	0	0	0	0	0	0	0	191010	1	191011	1	191012	1	191010	1	191012	1	191012	1
	105	亚瑟王-蓝1	1	5	3	1	106	2	134	4	110	1	3880	0	0	0	0	0	0	0	0	0	0	191013	1	191014	1	191015	1	191013	1	191015	1	191015	1
	106	亚瑟王-蓝2	1	6	3	2	107	2	212	4	158	1	6040	0	0	0	0	0	0	0	0	0	0	191016	1	191017	1	191018	1	191016	1	191018	1	191018	1
	107	亚瑟王-紫0	1	7	4	0	108	2	306	4	216	1	8640	0	0	0	0	0	0	0	0	0	0	191019	1	191020	1	191021	1	191019	1	191021	1	191021	1
	108	亚瑟王-紫1	1	8	4	1	109	2	418	4	286	1	11720	0	0	0	0	0	0	0	0	0	0	191022	1	191023	1	191024	1	191022	1	191024	1	191024	1
	109	亚瑟王-紫2	1	9	4	2	110	2	548	4	368	1	15280	0	0	0	0	0	0	0	0	0	0	191025	1	191026	1	191027	1	191025	1	191027	1	191027	1
	110	亚瑟王-紫3	1	10	4	3	111	2	696	4	462	1	19320	0	0	0	0	0	0	0	0	0	0	191028	1	191029	1	191030	1	191028	1	191030	1	191030	1
	111	亚瑟王-橙0	1	11	5	0	112	2	862	4	568	1	23840	0	0	0	0	0	0	0	0	0	0	191031	1	191032	1	191033	1	191031	1	191033	1	191033	1
	112	亚瑟王-橙1	1	12	5	1	113	2	1052	4	690	1	29000	0	0	0	0	0	0	0	0	0	0	191034	1	191035	1	191036	1	191034	1	191036	1	191036	1
	113	亚瑟王-橙2	1	13	5	2	114	2	1266	4	828	1	34800	0	0	0	0	0	0	0	0	0	0	191037	1	191038	1	191039	1	191037	1	191039	1	191039	1
	114	亚瑟王-橙3	1	14	5	3	115	2	1504	4	982	1	41240	0	0	0	0	0	0	0	0	0	0	191040	1	191041	1	191042	1	191040	1	191042	1	191042	1
	115	亚瑟王-橙4	1	15	5	4	0	2	1766	4	1152	1	48320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	201	荆轲-白0	2	1	1	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191001	1	191002	1	191003	1	0	0	0	0	0	0
	202	荆轲-绿0	2	2	2	0	203	2	18	4	18	1	360	0	0	0	0	0	0	0	0	0	0	191004	1	191005	1	191006	1	191004	1	0	0	0	0
	203	荆轲-绿1	2	3	2	1	204	2	58	4	42	1	840	0	0	0	0	0	0	0	0	0	0	191007	1	191008	1	191009	1	191007	1	0	0	0	0
	204	荆轲-蓝0	2	4	3	0	205	2	108	4	72	1	1440	0	0	0	0	0	0	0	0	0	0	191010	1	191011	1	191012	1	191010	1	191011	1	191010	1
	205	荆轲-蓝1	2	5	3	1	206	2	194	4	134	1	2200	0	0	0	0	0	0	0	0	0	0	191013	1	191014	1	191015	1	191013	1	191014	1	191013	1
	206	荆轲-蓝2	2	6	3	2	207	2	302	4	212	1	3160	0	0	0	0	0	0	0	0	0	0	191016	1	191017	1	191018	1	191016	1	191017	1	191016	1
	207	荆轲-紫0	2	7	4	0	208	2	432	4	306	1	4320	0	0	0	0	0	0	0	0	0	0	191019	1	191020	1	191021	1	191019	1	191020	1	191019	1
	208	荆轲-紫1	2	8	4	1	209	2	586	4	418	1	5720	0	0	0	0	0	0	0	0	0	0	191022	1	191023	1	191024	1	191022	1	191023	1	191022	1
	209	荆轲-紫2	2	9	4	2	210	2	764	4	548	1	7360	0	0	0	0	0	0	0	0	0	0	191025	1	191026	1	191027	1	191025	1	191026	1	191025	1
	210	荆轲-紫3	2	10	4	3	211	2	966	4	696	1	9240	0	0	0	0	0	0	0	0	0	0	191028	1	191029	1	191030	1	191028	1	191029	1	191028	1
	211	荆轲-橙0	2	11	5	0	212	2	1192	4	862	1	11360	0	0	0	0	0	0	0	0	0	0	191031	1	191032	1	191033	1	191031	1	191032	1	191031	1
	212	荆轲-橙1	2	12	5	1	213	2	1450	4	1052	1	13800	0	0	0	0	0	0	0	0	0	0	191034	1	191035	1	191036	1	191034	1	191035	1	191034	1
	213	荆轲-橙2	2	13	5	2	214	2	1740	4	1266	1	16560	0	0	0	0	0	0	0	0	0	0	191037	1	191038	1	191039	1	191037	1	191038	1	191037	1
	214	荆轲-橙3	2	14	5	3	215	2	2062	4	1504	1	19640	0	0	0	0	0	0	0	0	0	0	191040	1	191041	1	191042	1	191040	1	191041	1	191040	1
	215	荆轲-橙4	2	15	5	4	0	2	2416	4	1766	1	23040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	301	大锤女汉子-白0	3	1	1	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191001	1	191002	1	191003	1	0	0	0	0	0	0
	302	大锤女汉子-绿0	3	2	2	0	303	2	18	4	18	1	360	0	0	0	0	0	0	0	0	0	0	191004	1	191005	1	191006	1	191004	1	0	0	0	0
	303	大锤女汉子-绿1	3	3	2	1	304	2	58	4	42	1	840	0	0	0	0	0	0	0	0	0	0	191007	1	191008	1	191009	1	191007	1	0	0	0	0
	304	大锤女汉子-蓝0	3	4	3	0	305	2	108	4	72	1	1440	0	0	0	0	0	0	0	0	0	0	191010	1	191011	1	191012	1	191010	1	191011	1	191012	1
	305	大锤女汉子-蓝1	3	5	3	1	306	2	170	4	134	1	2680	0	0	0	0	0	0	0	0	0	0	191013	1	191014	1	191015	1	191013	1	191014	1	191015	1
