#	离线竞技奖励配置表										
#	Id		StartRank	RewardItemType0	RewardItemCount0	RewardItemType1	RewardItemCount1	RewardItemType2	RewardItemCount2	RewardItemType3	RewardItemCount3
#	int		int	int	int	int	int	int	int	int	int
#	离线竞技奖励类型	策划备注	离线竞技开始名次	奖励道具1类型	奖励道具1数量	奖励道具2类型	奖励道具2数量	奖励道具3类型	奖励道具3数量	奖励道具4类型	奖励道具4数量
	1	第1名奖励	1	10	400	7	180000	-1	0	-1	0
	2	第2名奖励	2	10	360	7	160000	-1	0	-1	0
	3	第3名奖励	3	10	320	7	140000	-1	0	-1	0
	4	第4-10名奖励	4	10	260	7	120000	-1	0	-1	0
	5	第11-30名奖励	11	10	220	7	100000	-1	0	-1	0
	6	第31-60名奖励	31	10	180	7	80000	-1	0	-1	0
	7	第61-100名奖励	61	10	160	7	60000	-1	0	-1	0
	8	第101-200名奖励	101	10	140	7	40000	-1	0	-1	0
	9	第201-500名奖励	201	10	120	7	20000	-1	0	-1	0
	10	第501-10000名奖励	501	10	100	7	10000	-1	0	-1	0
	11	从10001名开始无奖励	10001	-1	0	-1	0	-1	0	-1	0
