#	英雄配置表																																																														
#	Id		Name	Description	Profession	CharacterId	Scale	IconId	DefaultWeaponSuiteId	DefaultMight	DefaultTotalQualityLevel	DefaultStarLevel	Steady	SteadyRecoverSpeed	SteadyBuffId	DeadDurationBeforeAutoSwitch	AvoidancePriority	CDWhenStart	CDAfterChangeHero	SwitchSkillGroupId	SkillGroupId0	SkillGroupId1	SkillGroupId2	SkillGroupId3	SkillGroupId4	Speed	DamageRandomRate	StarLevelUpItemId	StarFactor1	StarLevelUpItemCount1	StarFactor2	StarLevelUpItemCount2	StarFactor3	StarLevelUpItemCount3	StarFactor4	StarLevelUpItemCount4	StarFactor5	StarLevelUpItemCount5	MaxHPFactor	PhysicalAttackFactor	PhysicalDefenseFactor	MagicAttackFactor	MagicDefenseFactor	AIBehavior	AngerIncreaseRate	CriticalHitProb	CriticalHitRate	FightCharacteristic	ElementId	PortraitTextureId	WhereToGetId0	WhereToGetId1	WhereToGetId2	WhereToGetId3	WhereToGetId4	WhereToGetId5	WhereToGetId6	WhereToGetId7	WhereToGetId8	WhereToGetId9	PiecesPerHero	RecoverHPBase	DetailDescription
#	int		string	string	int	int	float	int	int	int	int	int	float	float	int	float	int	float	float	int	int	int	int	int	int	float	float	int	float	int	float	int	float	int	float	int	float	int	float	float	float	float	float	string	float	float	float	string	int	int	int	int	int	int	int	int	int	int	int	int	int	float	string
#	英雄编号	策划备注	英雄名称	英雄描述	职业编号	模型编号	模型缩放比例	头像编号	默认武器套装编号	默认战力	默认总品阶	默认星级	霸体值	霸体值恢复速度	霸体Buff编号	死亡后等待自动切换其他英雄的时间	躲避优先级	初始冷却时间	被切换后冷却时间	切换技能组编号	连续技	技能1	技能2	技能3	技能4	移动速度	伤害浮动比率	英雄升星所需道具编号	一星系数	一星升级所需道具个数	二星系数	二星升级所需道具个数	三星系数	三星升级所需道具个数	四星系数	四星升级所需道具个数	五星系数	五星升级所需道具个数	生命倍率	物理攻击倍率	物理防御倍率	法术攻击倍率	法术防御倍率	AI 行为	怒气上涨率	暴击率	暴击伤害倍数	英雄战斗特点描述	克制属性编号	大头像贴图编号	获取途径编号	获取途径编号	获取途径编号	获取途径编号	获取途径编号	获取途径编号	获取途径编号	获取途径编号	获取途径编号	获取途径编号	合成英雄碎片数量	待战回血基础值	英雄详细描述
	1	亚瑟王	HERO_NAME_101	HERO_DESC_101	1	100	1	111001	10101	100	1	1	1000	150	11110	2	50	12	22	10009	10001	10006	10007	10008	10088	5	0.05	201401	0	20	0.2	50	0.4	100	0.6	150	0.8	240	1.2	0.9	0.9	0	0	Characters/HeroKingArthur1	0	0.2	0.4	HERO_NAME_101	4	1	2	3	1	-1	-1	-1	-1	-1	-1	-1	10	1	HERO_DESC_101
	2	荆轲	HERO_NAME_102	HERO_DESC_102	2	101	1	111002	10201	101	1	1	1000	150	11110	2	50	12	22	10109	10101	10107	10106	10108	10188	6	0.05	201402	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	1.2	0.9	0	0	Characters/HeroKingArthur1	0	0.2	0.4	HERO_NAME_102	5	2	2	3	1	-1	-1	-1	-1	-1	-1	-1	10	1	HERO_DESC_102
#	3	大锤女汉子	HERO_NAME_103	HERO_DESC_103	3	102	1	111003	10301	102	1	1	1000	150	11110	2	50	12	22	10009	10001	10006	10007	10008	10088	4.5	0.05	201403	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	1	1	0	0	Characters/HeroKingArthur	0	0.2	0.4	HERO_NAME_103	4	3	2	3	1	-1	-1	-1	-1	-1	-1	-1	10	1	HERO_DESC_103
	4	卡特琳娜	HERO_NAME_104	HERO_DESC_104	4	103	1	111004	10401	103	1	1	1000	150	11110	2	50	12	22	10308	10301	10305	10307	10306	10388	6	0.05	201404	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	1	0.9	0	0	Characters/HeroKatarina	0	0.2	0.4	HERO_NAME_104	3	4	2	3	1	-1	-1	-1	-1	-1	-1	-1	10	1	HERO_DESC_104
	5	梅林	HERO_NAME_105	HERO_DESC_105	5	104	1	111005	10501	104	1	1	1000	150	11110	2	50	12	22	10408	10401	10405	10406	10407	10488	5	0.05	201405	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.8	1.2	0.8	0	0	Characters/HeroKatarina	0	0.2	0.4	HERO_NAME_105	1	5	2	3	1	-1	-1	-1	-1	-1	-1	-1	10	1	HERO_DESC_105
#	6	牛魔王	HERO_NAME_106	HERO_DESC_106	1	105	1	111006	10601	105	1	2	1000	150	11110	2	50	12	22	10509	10501	10506	10507	10508	10588	4.5	0.05	201406	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	0.9	1.2	0	0	Characters/HeroKingArthur1	0	0.2	0.4	HERO_NAME_106	4	6	2	3	1	-1	-1	-1	-1	-1	-1	-1	30	1	HERO_DESC_106
#	7	火枪手	HERO_NAME_107	HERO_DESC_121	1	128	1	111007	12701	120	1	3	1000	150	11110	2	50	12	22	12008	12001	12005	12006	12007	12088	5	0.05	201407	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	1	1	0	0	Characters/HeroKingArthur1	0	0.2	0.4	HERO_NAME_107	2	31	2	3	1	-1	-1	-1	-1	-1	-1	-1	80	1	HERO_DESC_121
	8	链球男	HERO_NAME_108	HERO_DESC_108	5	120	1	111008	10801	107	1	1	1000	150	11110	2	50	12	22	10709	10701	10706	10707	10708	10788	5	0.05	201408	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	1	1.1	0	0	Characters/HeroKingArthur1	0	0.2	0.4	HERO_NAME_108	3	21	2	3	1	-1	-1	-1	-1	-1	-1	-1	10	1	HERO_DESC_108
	9	小萝莉	HERO_NAME_109	HERO_DESC_109	4	121	1	111009	10901	108	1	2	1000	150	11110	2	50	12	22	10808	10801	10805	10806	10807	10888	5	0.05	201409	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	1.1	0.8	0	0	Characters/HeroKatarina	0	0.2	0.4	HERO_NAME_109	2	22	2	3	1	-1	-1	-1	-1	-1	-1	-1	30	1	HERO_DESC_109
	10	鞭女	HERO_NAME_110	HERO_DESC_110	5	109	1	111010	11001	109	1	2	1000	150	11110	2	50	12	22	10909	10901	10906	10907	10908	10988	5.5	0.05	201410	0	20	0.2	50	0.4	100	0.6	150	0.8	240	0.9	1.1	0.9	0	0	Characters/HeroKingArthur1	0	0.2	0.4	HERO_NAME_110	5	10	2	3	1	-1	-1	-1	-1	-1	-1	-1	30	1	HERO_DESC_110
