#	装备强化等级配置表									
#	Id		GearId	NextId	Level	RequiredCoins	AttrId0	attrVal0	AttrId1	attrVal1
#	int		int	int	int	int	int	float	int	float
#	等级编号	策划备注	装备编号	下一等级编号	等级	升至本级所需金币数量	属性编号0	属性值0	属性编号1	属性值1
	100001	亚瑟王	100	100002	1	750	2	0	0	0
	100002	亚瑟王	100	100003	2	1750	2	5	0	0
	100003	亚瑟王	100	100004	3	2750	2	10	0	0
	100004	亚瑟王	100	100005	4	3750	2	15	0	0
	100005	亚瑟王	100	100006	5	4750	2	20	0	0
	100006	亚瑟王	100	100007	6	5750	2	25	0	0
	100007	亚瑟王	100	100008	7	6750	2	30	0	0
	100008	亚瑟王	100	100009	8	7750	2	35	0	0
	100009	亚瑟王	100	100010	9	8750	2	40	0	0
	100010	亚瑟王	100	100011	10	9750	2	45	0	0
	100011	亚瑟王	100	100012	11	10750	2	50	0	0
	100012	亚瑟王	100	100013	12	11750	2	55	0	0
	100013	亚瑟王	100	100014	13	12750	2	60	0	0
	100014	亚瑟王	100	100015	14	13750	2	65	0	0
	100015	亚瑟王	100	100016	15	14750	2	70	0	0
	100016	亚瑟王	100	100017	16	15750	2	75	0	0
	100017	亚瑟王	100	100018	17	16750	2	80	0	0
	100018	亚瑟王	100	100019	18	17750	2	85	0	0
	100019	亚瑟王	100	100020	19	18750	2	90	0	0
	100020	亚瑟王	100	100021	20	19750	2	95	0	0
	100021	亚瑟王	100	100022	21	20750	2	100	0	0
	100022	亚瑟王	100	100023	22	21750	2	105	0	0
	100023	亚瑟王	100	100024	23	22750	2	110	0	0
	100024	亚瑟王	100	100025	24	23750	2	115	0	0
	100025	亚瑟王	100	100026	25	24750	2	120	0	0
	100026	亚瑟王	100	100027	26	25750	2	125	0	0
	100027	亚瑟王	100	100028	27	26750	2	130	0	0
	100028	亚瑟王	100	100029	28	27750	2	135	0	0
	100029	亚瑟王	100	100030	29	28750	2	140	0	0
	100030	亚瑟王	100	100031	30	29750	2	145	0	0
	100031	亚瑟王	100	100032	31	30750	2	150	0	0
	100032	亚瑟王	100	100033	32	31750	2	155	0	0
	100033	亚瑟王	100	100034	33	32750	2	160	0	0
	100034	亚瑟王	100	100035	34	33750	2	165	0	0
	100035	亚瑟王	100	100036	35	34750	2	170	0	0
	100036	亚瑟王	100	100037	36	35750	2	175	0	0
	100037	亚瑟王	100	100038	37	36750	2	180	0	0
	100038	亚瑟王	100	100039	38	37750	2	185	0	0
	100039	亚瑟王	100	100040	39	38750	2	190	0	0
	100040	亚瑟王	100	100041	40	39750	2	195	0	0
	100041	亚瑟王	100	100042	41	40750	2	200	0	0
	100042	亚瑟王	100	100043	42	41750	2	205	0	0
	100043	亚瑟王	100	100044	43	42750	2	210	0	0
	100044	亚瑟王	100	100045	44	43750	2	215	0	0
	100045	亚瑟王	100	100046	45	44750	2	220	0	0
	100046	亚瑟王	100	100047	46	45750	2	225	0	0
	100047	亚瑟王	100	100048	47	46750	2	230	0	0
	100048	亚瑟王	100	100049	48	47750	2	235	0	0
	100049	亚瑟王	100	100050	49	48750	2	240	0	0
	100050	亚瑟王	100	100051	50	49750	2	245	0	0
	100051	亚瑟王	100	100052	51	50750	2	250	0	0
	100052	亚瑟王	100	100053	52	51750	2	255	0	0
	100053	亚瑟王	100	100054	53	52750	2	260	0	0
	100054	亚瑟王	100	100055	54	53750	2	265	0	0
	100055	亚瑟王	100	100056	55	54750	2	270	0	0
	100056	亚瑟王	100	100057	56	55750	2	275	0	0
