#	字典配置表		
#	Key		Value
#	string		string
#	字典主键	策划备注	字典内容，可使用转义符
	SKILL_NAME_10001		斩杀
	SKILL_NAME_10006		正义打击
	SKILL_NAME_10007		骑士之怒
	SKILL_NAME_10008		圆桌裁决
	SKILL_NAME_10009		圣光波
	SKILL_NAME_10088		闪避
	SKILL_NAME_10101		燕人刺
	SKILL_NAME_10106		链杀
	SKILL_NAME_10107		影杀
	SKILL_NAME_10108		瞬狱杀
	SKILL_NAME_10109		地震杀
	SKILL_NAME_10188		闪避
	SKILL_NAME_10301		双枪射
	SKILL_NAME_10305		舞步射击
	SKILL_NAME_10306		迷星杀阵
	SKILL_NAME_10307		震地射击
	SKILL_NAME_10308		流星
	SKILL_NAME_10388		闪避
	SKILL_NAME_10401		基础奥术
	SKILL_NAME_10405		秘法球
	SKILL_NAME_10406		闪电风暴
	SKILL_NAME_10407		法力黑洞
	SKILL_NAME_10408		雷神下凡
	SKILL_NAME_10488		闪避
	SKILL_NAME_10701		野蛮链球
	SKILL_NAME_10706		暴力弹射
	SKILL_NAME_10707		焦土
	SKILL_NAME_10708		铁链风暴
	SKILL_NAME_10709		螺旋碾压
	SKILL_NAME_10788		闪避
	SKILL_NAME_10801		冰冰弹
	SKILL_NAME_10805		速冻炮
	SKILL_NAME_10806		雪花喷射器
	SKILL_NAME_10807		超霸气制冷机
	SKILL_NAME_10808		冬天来啦
	SKILL_NAME_10888		闪避
	SKILL_NAME_10901		暗之鞭
	SKILL_NAME_10906		夜叉缠
	SKILL_NAME_10907		无尽鞭挞
	SKILL_NAME_10908		阿修罗漩涡
	SKILL_NAME_10909		湿婆杀
	SKILL_NAME_10988		闪避
	SKILL_NAME_11201		钢拳
	SKILL_NAME_11206		火力球形态
	SKILL_NAME_11207		能量过载
	SKILL_NAME_11208		疯狂进军形态
	SKILL_NAME_11209		轰炸形态
	SKILL_NAME_11288		闪避
	SKILL_NAME_11401		埃及艳后连续技
	SKILL_NAME_11405		埃及艳后技能1
	SKILL_NAME_11406		埃及艳后技能2
	SKILL_NAME_11407		埃及艳后技能3
	SKILL_NAME_11408		埃及艳后切换技
	SKILL_NAME_11488		埃及艳后闪避技
	SKILL_NAME_11501		枪术
	SKILL_NAME_11506		寒刺
	SKILL_NAME_11507		龙缠
	SKILL_NAME_11508		破军之阵
	SKILL_NAME_11509		天降寒星
	SKILL_NAME_11588		闪避
	SKILL_NAME_11801		喷毒
	SKILL_NAME_11806		剧毒导弹阵
	SKILL_NAME_11807		死亡喷射
	SKILL_NAME_11808		疯狂炼金师
	SKILL_NAME_11809		唯我毒尊
	SKILL_NAME_11888		闪避
	SKILL_NAME_12001		利刃.闪电
	SKILL_NAME_12005		人肉电桩
	SKILL_NAME_12006		球形闪电
	SKILL_NAME_12007		电流潮汐
	SKILL_NAME_12008		星辰电海
	SKILL_NAME_12088		闪避
	SKILL_NAME_11601		基础剑术
	SKILL_NAME_11606		光击斩
	SKILL_NAME_11607		裂地斩
	SKILL_NAME_11608		幻影斩
	SKILL_NAME_11609		破碎虚空
	SKILL_NAME_11688		闪避
	SKILL_NAME_12101		泼墨退敌
	SKILL_NAME_12105		飞龙在天
